Customer Name,Industry,Location,Partners,Author Name,Author Designation,Story Link
Fanatics,Retail,US with global operations,,Nigel Ponds,"Senior Director, Global Resource Planning and Telephony , Fanatics, Inc.",https://www.genesys.com/customer-stories/fanatics/
Prvidr,Software,Australia,,Lawrence Drayton,"Head of Customer Experience, Prvidr",https://www.genesys.com/customer-stories/prvidr/
Odity,Customer relations,Global,,Clément Polet,"Deputy CEO Business, Odity",https://www.genesys.com/customer-stories/odity/
Grupo Sabin,Healthcare,Brazil,InvenIT,Neilton Alves,"Project Analyst, Grupo Sabin",https://www.genesys.com/customer-stories/grupo-sabin/
Ionos,IT services,Germany with global operations,,Carolin Raezer,"Head of Strategy and Innovation, IONOS",https://www.genesys.com/customer-stories/ionos/
Digital Dialog,Contact center services,Germany,VR Voice,Corinna Kaussen,"Authorized Signatory, Digital Dialog GmbH",https://www.genesys.com/customer-stories/digital-dialog/
Hexaware,IT/Business process outsourcer,India,,Kalpesh Gandhi,"VP of OCX Service Delivery, Hexaware",https://www.genesys.com/customer-stories/hexaware/
City Of Clearwater,Government,US,,Amy Sessions,"Customer Service Division Manager, City of Clearwater",https://www.genesys.com/customer-stories/city-of-clearwater/
Redsalud,Healthcare,Chile,,Juan Neme,"Digital Patient Services Manager, RedSalud",https://www.genesys.com/customer-stories/redsalud/
Bac,Financial services,Central America,ESMT,Cinthya Moreno Gómez,"Service Channels Corporate Director, BAC",https://www.genesys.com/customer-stories/bac/
O Phon,Business consulting services,Germany,NTT,Daniel Kubein,"Head of Operations and Performance, O.phon GmbH",https://www.genesys.com/customer-stories/o-phon/
King Price Insurance,Financial services,South Africa,Connect,Bianca Nel,"Product Owner, King Price Insurance",https://www.genesys.com/customer-stories/king-price-insurance/
Pluxee Romania,Employee engagement solutions,Romania,,Andreea Coca,"CX and Quality Manager, Pluxee Romania",https://www.genesys.com/customer-stories/pluxee-romania/
Modivcare,Healthcare,US,Amazon Web Services,Heath Sampson,"President & CEO, Modivcare",https://www.genesys.com/customer-stories/modivcare/
Apm,Human resources,Australia,Customer Driven,Michael McBride,"General Manager, Customer Service Center, APM",https://www.genesys.com/customer-stories/apm/
Benify,HR technology,Sweden and global operations,Salesforce,Philip Hagenfeldt,"Commercial System Lead, Benify",https://www.genesys.com/customer-stories/benify/
Fibrus Networks,Telecommunications,Northern Ireland and UK,Kerv Experience,Stephen Riley,"Head of Customer Service Operations, Fibrus Networks",https://www.genesys.com/customer-stories/fibrus-networks/
Kiwibank,Financial services,New Zealand,"Spark NZ, AWS",Emma Noble-Beasley,"General Manager Contact Center, Kiwibank",https://www.genesys.com/customer-stories/kiwibank/
The Trevor Project,Nonprofit,US,,Peggy Rajski (she/her),"Co-Founder and Interim CEO, The Trevor Project",https://www.genesys.com/customer-stories/the-trevor-project/
Western Sydney University,Education,Australia,Nexon Asia Pacific,Scott Snyder,"Chief Information and Digital Officer, Western Sydney University",https://www.genesys.com/customer-stories/western-sydney-university/
Rainmaker,Business process outsourcer,Finland and Spain,,Henri Forss,"Sales and Development Director, Rainmaker",https://www.genesys.com/customer-stories/rainmaker/
Auto Trader,Automotive,UK,"PCI Pal, PureInsights, Zendesk",Mike Braid,"Head of Enterprise IT, Auto Trader",https://www.genesys.com/customer-stories/auto-trader/
Narayana Health,Healthcare,India,"Tata Communications, Salesforce",Kumar KV,"Group Chief Information Officer, Narayana Health",https://www.genesys.com/customer-stories/narayana-health/
Puregym,Health and fitness,UK and international,Kerv,Scott Adams,"Member Services Manager, PureGym",https://www.genesys.com/customer-stories/puregym/
